lat,lon,ele,t,timestamp,tracknum
34.936003,-111.745445,1450.895,1224855858.0,2008-10-24T15:44:18Z,0
34.936003,-111.745445,1450.985,1224855859.0,2008-10-24T15:44:19Z,0
34.936003,-111.745445,1454.219,1224855895.0,2008-10-24T15:44:55Z,0
34.936003,-111.745445,1457.495,1224855913.0,2008-10-24T15:45:13Z,0
34.936003,-111.745445,1454.449,1224855936.0,2008-10-24T15:45:36Z,0
34.936003,-111.745445,1451.038,1224855944.0,2008-10-24T15:45:44Z,0
34.936003,-111.745445,1447.917,1224855948.0,2008-10-24T15:45:48Z,0
34.936003,-111.745445,1444.701,1224855951.0,2008-10-24T15:45:51Z,0
34.936003,-111.745445,1441.414,1224855956.0,2008-10-24T15:45:56Z,0
34.936003,-111.745445,1438.291,1224855961.0,2008-10-24T15:46:01Z,0
34.936003,-111.745445,1438.045,1224855962.0,2008-10-24T15:46:02Z,0
34.931435,-111.733436,1436.029,1224855972.0,2008-10-24T15:46:12Z,0
34.931263,-111.733194,1435.691,1224855974.0,2008-10-24T15:46:14Z,0
34.931017,-111.732371,1435.607,1224855979.0,2008-10-24T15:46:19Z,0
34.930601,-111.730235,1431.886,1224855991.0,2008-10-24T15:46:31Z,0
34.930494,-111.729233,1431.500,1224855997.0,2008-10-24T15:46:37Z,0
34.930155,-111.728559,1432.906,1224856002.0,2008-10-24T15:46:42Z,0
34.929480,-111.728549,1431.720,1224856007.0,2008-10-24T15:46:47Z,0
34.927948,-111.729434,1429.352,1224856018.0,2008-10-24T15:46:58Z,0
34.924560,-111.735391,1428.084,1224856021.0,2008-10-24T15:47:01Z,0
34.923771,-111.735547,1431.698,1224856026.0,2008-10-24T15:47:06Z,0
34.923448,-111.735546,1432.401,1224856028.0,2008-10-24T15:47:08Z,0
34.922789,-111.735311,1434.919,1224856032.0,2008-10-24T15:47:12Z,0
34.921611,-111.734560,1438.603,1224856040.0,2008-10-24T15:47:20Z,0
34.921327,-111.734375,1439.665,1224856042.0,2008-10-24T15:47:22Z,0
