lat,lon,ele,t,timestamp,tracknum
33.450660,-111.967192,363.961,1224932435.0,2008-10-25T13:00:35Z,0
33.448937,-111.967433,363.974,1224932489.0,2008-10-25T13:01:29Z,1
33.450793,-111.967223,362.703,1224932666.0,2008-10-25T13:04:26Z,1
33.450876,-111.967218,361.849,1224932680.0,2008-10-25T13:04:40Z,1
33.450901,-111.967229,361.873,1224932681.0,2008-10-25T13:04:41Z,1
33.450977,-111.967431,362.463,1224932685.0,2008-10-25T13:04:45Z,1
33.451010,-111.968464,363.472,1224932696.0,2008-10-25T13:04:56Z,1
33.450987,-111.970290,364.684,1224932708.0,2008-10-25T13:05:08Z,1
33.450997,-111.972699,364.162,1224932722.0,2008-10-25T13:05:22Z,1
33.451043,-111.974789,360.822,1224932734.0,2008-10-25T13:05:34Z,1
33.451111,-111.976080,358.871,1224932742.0,2008-10-25T13:05:42Z,1
33.451142,-111.977904,355.848,1224932753.0,2008-10-25T13:05:53Z,1
33.451165,-111.980566,353.853,1224932768.0,2008-10-25T13:06:08Z,1
33.451186,-111.982915,353.160,1224932781.0,2008-10-25T13:06:21Z,1
33.451204,-111.985118,351.379,1224932795.0,2008-10-25T13:06:35Z,1
33.451209,-111.986803,348.800,1224932808.0,2008-10-25T13:06:48Z,1
33.451210,-111.986908,348.902,1224932814.0,2008-10-25T13:06:54Z,1
33.451212,-111.986920,349.396,1224932821.0,2008-10-25T13:07:01Z,1
33.451217,-111.987866,349.911,1224932829.0,2008-10-25T13:07:09Z,1
33.451220,-111.989690,348.839,1224932839.0,2008-10-25T13:07:19Z,1
33.451258,-111.992479,346.678,1224932856.0,2008-10-25T13:07:36Z,1
33.451273,-111.994997,346.356,1224932873.0,2008-10-25T13:07:53Z,1
33.451290,-111.996893,345.260,1224932885.0,2008-10-25T13:08:05Z,1
33.451308,-111.999766,343.988,1224932901.0,2008-10-25T13:08:21Z,1
33.451312,-112.002973,342.501,1224932920.0,2008-10-25T13:08:40Z,1
33.451326,-112.006642,341.588,1224932942.0,2008-10-25T13:09:02Z,1
33.451323,-112.010389,340.431,1224932963.0,2008-10-25T13:09:23Z,1
33.451349,-112.012943,339.281,1224932979.0,2008-10-25T13:09:39Z,1
33.451336,-112.016210,338.651,1224933000.0,2008-10-25T13:10:00Z,1
