lat,lon,ele,t,timestamp,tracknum
31.939178,-112.811599,503.909,1224417811.0,2008-10-19T14:03:31Z,0
31.939196,-112.811575,503.970,1224417840.0,2008-10-19T14:04:00Z,1
31.939158,-112.811569,507.091,1224418267.0,2008-10-19T14:11:07Z,1
31.939194,-112.811631,506.551,1224418441.0,2008-10-19T14:14:01Z,1
31.939197,-112.811612,506.682,1224418450.0,2008-10-19T14:14:10Z,1
31.939186,-112.811084,506.383,1224418463.0,2008-10-19T14:14:23Z,1
31.939243,-112.810419,506.838,1224418477.0,2008-10-19T14:14:37Z,1
31.939442,-112.809448,506.320,1224418493.0,2008-10-19T14:14:53Z,1
31.939642,-112.808893,506.401,1224418503.0,2008-10-19T14:15:03Z,1
31.939954,-112.808785,507.307,1224418512.0,2008-10-19T14:15:12Z,1
31.940878,-112.809370,510.346,1224418527.0,2008-10-19T14:15:27Z,1
31.941818,-112.809989,513.363,1224418541.0,2008-10-19T14:15:41Z,1
31.942497,-112.810527,515.409,1224418553.0,2008-10-19T14:15:53Z,1
31.942633,-112.810965,515.729,1224418561.0,2008-10-19T14:16:01Z,1
31.942636,-112.811194,515.671,1224418568.0,2008-10-19T14:16:08Z,1
31.942823,-112.811376,516.401,1224418576.0,2008-10-19T14:16:16Z,1
31.942896,-112.811261,517.202,1224418580.0,2008-10-19T14:16:20Z,1
31.943039,-112.810297,518.556,1224418590.0,2008-10-19T14:16:30Z,1
31.943030,-112.809747,515.339,1224418594.0,2008-10-19T14:16:34Z,1
31.942945,-112.809274,511.775,1224418597.0,2008-10-19T14:16:37Z,1
31.942654,-112.808512,506.857,1224418602.0,2008-10-19T14:16:42Z,1
31.942454,-112.808059,504.308,1224418605.0,2008-10-19T14:16:45Z,1
31.942175,-112.807434,507.362,1224418610.0,2008-10-19T14:16:50Z,1
31.941975,-112.806731,510.303,1224418616.0,2008-10-19T14:16:56Z,1
31.941961,-112.806610,510.618,1224418617.0,2008-10-19T14:16:57Z,1
31.942066,-112.805160,507.615,1224418628.0,2008-10-19T14:17:08Z,1
31.942245,-112.804480,504.267,1224418633.0,2008-10-19T14:17:13Z,1
31.942449,-112.803934,500.350,1224418637.0,2008-10-19T14:17:17Z,1
31.942684,-112.803427,498.418,1224418641.0,2008-10-19T14:17:21Z,1
31.943510,-112.802699,500.792,1224418650.0,2008-10-19T14:17:30Z,1
31.944107,-112.802472,497.692,1224418655.0,2008-10-19T14:17:35Z,1
31.944223,-112.802450,497.657,1224418656.0,2008-10-19T14:17:36Z,1
31.945264,-112.802523,495.579,1224418665.0,2008-10-19T14:17:45Z,1
31.946352,-112.802856,496.489,1224418675.0,2008-10-19T14:17:55Z,1
31.947492,-112.802754,497.321,1224418685.0,2008-10-19T14:18:05Z,1
31.948067,-112.802659,497.943,1224418690.0,2008-10-19T14:18:10Z,1
31.949389,-112.803089,499.253,1224418702.0,2008-10-19T14:18:22Z,1
31.949495,-112.803135,499.271,1224418703.0,2008-10-19T14:18:23Z,1
31.951183,-112.803142,500.953,1224418718.0,2008-10-19T14:18:38Z,1
31.952332,-112.802542,502.012,1224418729.0,2008-10-19T14:18:49Z,1
31.952907,-112.802491,502.700,1224418734.0,2008-10-19T14:18:54Z,1
31.954033,-112.802691,502.633,1224418745.0,2008-10-19T14:19:05Z,1
31.954146,-112.802644,502.989,1224418750.0,2008-10-19T14:19:10Z,1
31.954154,-112.801977,504.069,1224418758.0,2008-10-19T14:19:18Z,1
31.954168,-112.801785,504.462,1224418760.0,2008-10-19T14:19:20Z,1
31.954077,-112.801160,505.528,1224418767.0,2008-10-19T14:19:27Z,1
31.953840,-112.800616,506.006,1224418773.0,2008-10-19T14:19:33Z,1
31.953764,-112.800121,504.978,1224418778.0,2008-10-19T14:19:38Z,1
31.953777,-112.799981,504.651,1224418780.0,2008-10-19T14:19:40Z,1
31.953781,-112.799836,504.601,1224418785.0,2008-10-19T14:19:45Z,1
31.954213,-112.799726,506.250,1224418791.0,2008-10-19T14:19:51Z,1
31.955576,-112.799866,509.321,1224418799.0,2008-10-19T14:19:59Z,1
31.956216,-112.799930,510.605,1224418802.0,2008-10-19T14:20:02Z,1
31.957411,-112.800067,513.231,1224418807.0,2008-10-19T14:20:07Z,1
31.959564,-112.800310,515.460,1224418816.0,2008-10-19T14:20:16Z,1
31.961302,-112.800653,518.632,1224418823.0,2008-10-19T14:20:23Z,1
31.963441,-112.801400,519.654,1224418831.0,2008-10-19T14:20:31Z,1
31.966186,-112.802836,521.886,1224418842.0,2008-10-19T14:20:42Z,1
31.968662,-112.804214,525.005,1224418852.0,2008-10-19T14:20:52Z,1
31.969409,-112.804639,526.479,1224418855.0,2008-10-19T14:20:55Z,1
31.971666,-112.805794,529.743,1224418864.0,2008-10-19T14:21:04Z,1
31.973556,-112.806166,530.449,1224418871.0,2008-10-19T14:21:11Z,1
31.974649,-112.806122,533.976,1224418875.0,2008-10-19T14:21:15Z,1
31.975462,-112.806021,537.990,1224418878.0,2008-10-19T14:21:18Z,1
31.976571,-112.805883,541.893,1224418882.0,2008-10-19T14:21:22Z,1
31.979339,-112.805700,541.353,1224418892.0,2008-10-19T14:21:32Z,1
31.983739,-112.805853,542.024,1224418908.0,2008-10-19T14:21:48Z,1
31.984550,-112.805881,545.776,1224418911.0,2008-10-19T14:21:51Z,1
31.985636,-112.805906,549.645,1224418915.0,2008-10-19T14:21:55Z,1
31.986190,-112.805935,550.460,1224418917.0,2008-10-19T14:21:57Z,1
31.988417,-112.806014,547.022,1224418925.0,2008-10-19T14:22:05Z,1
31.989226,-112.806046,545.538,1224418928.0,2008-10-19T14:22:08Z,1
31.993634,-112.806187,542.279,1224418944.0,2008-10-19T14:22:24Z,1
31.997782,-112.806281,538.914,1224418959.0,2008-10-19T14:22:39Z,1
31.998053,-112.806276,538.703,1224418960.0,2008-10-19T14:22:40Z,1
32.003329,-112.806029,536.262,1224418979.0,2008-10-19T14:22:59Z,1
32.007776,-112.805554,536.258,1224418995.0,2008-10-19T14:23:15Z,1
32.008057,-112.805519,536.247,1224418996.0,2008-10-19T14:23:16Z,1
32.012186,-112.804841,533.203,1224419011.0,2008-10-19T14:23:31Z,1
32.016842,-112.803849,532.903,1224419028.0,2008-10-19T14:23:48Z,1
32.017939,-112.803575,534.843,1224419032.0,2008-10-19T14:23:52Z,1
32.021767,-112.802478,531.571,1224419046.0,2008-10-19T14:24:06Z,1
32.026044,-112.801047,530.019,1224419062.0,2008-10-19T14:24:22Z,1
32.030783,-112.799191,532.598,1224419080.0,2008-10-19T14:24:40Z,1
32.033695,-112.798008,531.446,1224419091.0,2008-10-19T14:24:51Z,1
