lat,lon,ele,t,timestamp,tracknum
34.931611,-110.136704,1604.665,1224503719.0,2008-10-20T13:55:19Z,0
34.931611,-110.136704,1605.846,1224503733.0,2008-10-20T13:55:33Z,0
34.931611,-110.136704,1604.514,1224503734.0,2008-10-20T13:55:34Z,0
34.931611,-110.136704,1604.660,1224503792.0,2008-10-20T13:56:32Z,0
34.925135,-110.144570,1604.355,1224503809.0,2008-10-20T13:56:49Z,0
34.922698,-110.147027,1604.407,1224503825.0,2008-10-20T13:57:05Z,0
34.919972,-110.149771,1601.341,1224503843.0,2008-10-20T13:57:23Z,0
34.919162,-110.150587,1598.692,1224503849.0,2008-10-20T13:57:29Z,0
34.918647,-110.151114,1596.668,1224503853.0,2008-10-20T13:57:33Z,0
34.918129,-110.151628,1594.961,1224503857.0,2008-10-20T13:57:37Z,0
34.917167,-110.152610,1591.857,1224503865.0,2008-10-20T13:57:45Z,0
34.915384,-110.154462,1588.871,1224503881.0,2008-10-20T13:58:01Z,0
34.914393,-110.155464,1585.827,1224503890.0,2008-10-20T13:58:10Z,0
34.913826,-110.156002,1583.526,1224503895.0,2008-10-20T13:58:15Z,0
34.913243,-110.156490,1580.404,1224503900.0,2008-10-20T13:58:20Z,0
34.912615,-110.156930,1577.062,1224503905.0,2008-10-20T13:58:25Z,0
34.912484,-110.157015,1576.776,1224503906.0,2008-10-20T13:58:26Z,0
34.911996,-110.157321,1572.782,1224503910.0,2008-10-20T13:58:30Z,0
34.911530,-110.157537,1569.705,1224503914.0,2008-10-20T13:58:34Z,0
34.911183,-110.157670,1567.560,1224503917.0,2008-10-20T13:58:37Z,0
34.910624,-110.157856,1563.597,1224503922.0,2008-10-20T13:58:42Z,0
34.910411,-110.157917,1562.934,1224503924.0,2008-10-20T13:58:44Z,0
34.909572,-110.158075,1559.884,1224503932.0,2008-10-20T13:58:52Z,0
34.908998,-110.158085,1557.443,1224503941.0,2008-10-20T13:59:01Z,0
34.908699,-110.157926,1555.673,1224503951.0,2008-10-20T13:59:11Z,0
34.908714,-110.157847,1556.187,1224503954.0,2008-10-20T13:59:14Z,0
34.908755,-110.157818,1556.184,1224503957.0,2008-10-20T13:59:17Z,0
34.908799,-110.157837,1556.544,1224503979.0,2008-10-20T13:59:39Z,0
34.908798,-110.157816,1556.189,1224504049.0,2008-10-20T14:00:49Z,0
34.908973,-110.157796,1556.072,1224504065.0,2008-10-20T14:01:05Z,0
34.909075,-110.157913,1555.898,1224504074.0,2008-10-20T14:01:14Z,0
34.909123,-110.157930,1555.993,1224504105.0,2008-10-20T14:01:45Z,0
34.908687,-110.158006,1554.639,1224504110.0,2008-10-20T14:01:50Z,0
34.908458,-110.158039,1553.975,1224504112.0,2008-10-20T14:01:52Z,0
34.907714,-110.158069,1551.650,1224504122.0,2008-10-20T14:02:02Z,0
34.907665,-110.158078,1551.703,1224504133.0,2008-10-20T14:02:13Z,0
34.907660,-110.158077,1551.971,1224504136.0,2008-10-20T14:02:16Z,0
34.907672,-110.157866,1551.747,1224504145.0,2008-10-20T14:02:25Z,0
34.907773,-110.157843,1552.372,1224504160.0,2008-10-20T14:02:40Z,0
34.907771,-110.157842,1556.035,1224504169.0,2008-10-20T14:02:49Z,0
34.907771,-110.157842,1552.015,1224504170.0,2008-10-20T14:02:50Z,0
34.907825,-110.157837,1549.965,1224504356.0,2008-10-20T14:05:56Z,0
34.907886,-110.157727,1551.594,1224504369.0,2008-10-20T14:06:09Z,0
34.907957,-110.157711,1550.228,1224504448.0,2008-10-20T14:07:28Z,0
34.908068,-110.157892,1550.683,1224504458.0,2008-10-20T14:07:38Z,0
34.908074,-110.157953,1551.135,1224504467.0,2008-10-20T14:07:47Z,0
34.907839,-110.158069,1550.804,1224504473.0,2008-10-20T14:07:53Z,0
34.907301,-110.158105,1550.460,1224504482.0,2008-10-20T14:08:02Z,0
34.907232,-110.158105,1550.427,1224504491.0,2008-10-20T14:08:11Z,0
34.906990,-110.158097,1551.428,1224504498.0,2008-10-20T14:08:18Z,0
34.905998,-110.158125,1551.809,1224504507.0,2008-10-20T14:08:27Z,0
34.904084,-110.158185,1551.439,1224504522.0,2008-10-20T14:08:42Z,0
34.902422,-110.158483,1550.916,1224504536.0,2008-10-20T14:08:56Z,0
34.901893,-110.158598,1550.152,1224504544.0,2008-10-20T14:09:04Z,0
34.901773,-110.158642,1550.568,1224504550.0,2008-10-20T14:09:10Z,0
34.901692,-110.158991,1551.255,1224504555.0,2008-10-20T14:09:15Z,0
34.901841,-110.160288,1551.743,1224504564.0,2008-10-20T14:09:24Z,0
34.902167,-110.162783,1550.969,1224504579.0,2008-10-20T14:09:39Z,0
34.902440,-110.165012,1550.856,1224504594.0,2008-10-20T14:09:54Z,0
34.902653,-110.166782,1549.677,1224504607.0,2008-10-20T14:10:07Z,0
34.902832,-110.166954,1549.419,1224504614.0,2008-10-20T14:10:14Z,0
34.902962,-110.167141,1549.798,1224504623.0,2008-10-20T14:10:23Z,0
34.902920,-110.167255,1549.853,1224504634.0,2008-10-20T14:10:34Z,0
34.903012,-110.167264,1550.212,1224504679.0,2008-10-20T14:11:19Z,0
34.903060,-110.167278,1550.675,1224504683.0,2008-10-20T14:11:23Z,0
34.903181,-110.167337,1550.537,1224504696.0,2008-10-20T14:11:36Z,0
34.903190,-110.167352,1550.651,1224504697.0,2008-10-20T14:11:37Z,0
34.903238,-110.167383,1550.080,1224504710.0,2008-10-20T14:11:50Z,0
34.903356,-110.167385,1550.496,1224505009.0,2008-10-20T14:16:49Z,0
34.903336,-110.167367,1550.481,1224505031.0,2008-10-20T14:17:11Z,0
34.903444,-110.167356,1550.429,1224505058.0,2008-10-20T14:17:38Z,0
34.903457,-110.167338,1551.137,1224505097.0,2008-10-20T14:18:17Z,0
34.903346,-110.167279,1550.830,1224505134.0,2008-10-20T14:18:54Z,0
34.903384,-110.167322,1551.182,1224505169.0,2008-10-20T14:19:29Z,0
34.903378,-110.167233,1551.018,1224505205.0,2008-10-20T14:20:05Z,0
34.903425,-110.167112,1551.240,1224505226.0,2008-10-20T14:20:26Z,0
34.903387,-110.166985,1551.286,1224505345.0,2008-10-20T14:22:25Z,0
34.903240,-110.167024,1550.352,1224505458.0,2008-10-20T14:24:18Z,0
34.903345,-110.167073,1549.229,1224505501.0,2008-10-20T14:25:01Z,0
34.903336,-110.167204,1547.825,1224505570.0,2008-10-20T14:26:10Z,0
34.903319,-110.167210,1548.453,1224505703.0,2008-10-20T14:28:23Z,0
34.903324,-110.167312,1548.769,1224505733.0,2008-10-20T14:28:53Z,0
34.903119,-110.167282,1548.971,1224505743.0,2008-10-20T14:29:03Z,0
34.902915,-110.167213,1549.194,1224505758.0,2008-10-20T14:29:18Z,0
34.902878,-110.167210,1549.898,1224505778.0,2008-10-20T14:29:38Z,0
34.902912,-110.167234,1550.344,1224505831.0,2008-10-20T14:30:31Z,0
34.902916,-110.167238,1550.414,1224505916.0,2008-10-20T14:31:56Z,0
34.902801,-110.167492,1550.155,1224505925.0,2008-10-20T14:32:05Z,0
34.902797,-110.167497,1550.224,1224505926.0,2008-10-20T14:32:06Z,0
34.902606,-110.167221,1551.229,1224505932.0,2008-10-20T14:32:12Z,0
34.902397,-110.165441,1551.602,1224505946.0,2008-10-20T14:32:26Z,0
34.902113,-110.162915,1551.630,1224505963.0,2008-10-20T14:32:43Z,0
34.901904,-110.161229,1551.189,1224505976.0,2008-10-20T14:32:56Z,0
